contract_ref,contract_name,exhibit,setting,covered_entity,code_type,procedure_code,description,methodology_code,rate_basis,base_year,percentage,rvu,conversion_factor,units_note,allowed_2025,allowed_2026
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,14459,"Integumentary / Surgery procedure, code 14459 (specimen)",RBRVS,130% MPFS,2025,130,9.84,32.7442,,418.86,431.43
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,14514,"Integumentary / Surgery procedure, code 14514 (specimen)",RBRVS,130% MPFS,2025,130,7.16,32.7442,,304.78,313.92
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,14569,"Integumentary / Surgery procedure, code 14569 (specimen)",RBRVS,130% MPFS,2025,130,12.88,32.7442,,548.27,564.72
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,14624,"Integumentary / Surgery procedure, code 14624 (specimen)",RBRVS,130% MPFS,2025,130,6.04,32.7442,,257.11,264.82
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,14679,"Integumentary / Surgery procedure, code 14679 (specimen)",RBRVS,130% MPFS,2025,130,12.25,32.7442,,521.45,537.09
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,14734,"Integumentary / Surgery procedure, code 14734 (specimen)",RBRVS,130% MPFS,2025,130,8.93,32.7442,,380.13,391.53
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,14789,"Integumentary / Surgery procedure, code 14789 (specimen)",RBRVS,130% MPFS,2025,130,13.7,32.7442,,583.17,600.67
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,14844,"Integumentary / Surgery procedure, code 14844 (specimen)",RBRVS,130% MPFS,2025,130,12.46,32.7442,,530.39,546.30
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,14899,"Integumentary / Surgery procedure, code 14899 (specimen)",RBRVS,130% MPFS,2025,130,14.22,32.7442,,605.31,623.47
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,14954,"Integumentary / Surgery procedure, code 14954 (specimen)",RBRVS,130% MPFS,2025,130,13.8,32.7442,,587.43,605.05
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,15009,"Integumentary / Surgery procedure, code 15009 (specimen)",RBRVS,130% MPFS,2025,130,3.76,32.7442,,160.05,164.85
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,15064,"Integumentary / Surgery procedure, code 15064 (specimen)",RBRVS,130% MPFS,2025,130,18.81,32.7442,,800.69,824.71
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,15119,"Integumentary / Surgery procedure, code 15119 (specimen)",RBRVS,130% MPFS,2025,130,13.14,32.7442,,559.34,576.12
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,15174,"Integumentary / Surgery procedure, code 15174 (specimen)",RBRVS,130% MPFS,2025,130,19.67,32.7442,,837.30,862.42
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,15229,"Integumentary / Surgery procedure, code 15229 (specimen)",RBRVS,130% MPFS,2025,130,20.0,32.7442,,851.35,876.89
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,15284,"Integumentary / Surgery procedure, code 15284 (specimen)",RBRVS,130% MPFS,2025,130,10.49,32.7442,,446.53,459.93
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,15339,"Integumentary / Surgery procedure, code 15339 (specimen)",RBRVS,130% MPFS,2025,130,8.68,32.7442,,369.49,380.57
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,15394,"Integumentary / Surgery procedure, code 15394 (specimen)",RBRVS,130% MPFS,2025,130,8.96,32.7442,,381.40,392.84
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,15449,"Integumentary / Surgery procedure, code 15449 (specimen)",RBRVS,130% MPFS,2025,130,5.7,32.7442,,242.63,249.91
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,15504,"Integumentary / Surgery procedure, code 15504 (specimen)",RBRVS,130% MPFS,2025,130,15.06,32.7442,,641.07,660.30
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,15559,"Integumentary / Surgery procedure, code 15559 (specimen)",RBRVS,130% MPFS,2025,130,19.5,32.7442,,830.07,854.97
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,15614,"Integumentary / Surgery procedure, code 15614 (specimen)",RBRVS,130% MPFS,2025,130,8.76,32.7442,,372.89,384.08
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,15669,"Integumentary / Surgery procedure, code 15669 (specimen)",RBRVS,130% MPFS,2025,130,21.32,32.7442,,907.54,934.77
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,15724,"Integumentary / Surgery procedure, code 15724 (specimen)",RBRVS,130% MPFS,2025,130,4.93,32.7442,,209.86,216.16
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,15779,"Integumentary / Surgery procedure, code 15779 (specimen)",RBRVS,130% MPFS,2025,130,5.87,32.7442,,249.87,257.37
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,15834,"Integumentary / Surgery procedure, code 15834 (specimen)",RBRVS,130% MPFS,2025,130,13.44,32.7442,,572.11,589.27
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,15889,"Integumentary / Surgery procedure, code 15889 (specimen)",RBRVS,130% MPFS,2025,130,9.4,32.7442,,400.13,412.13
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,15944,"Integumentary / Surgery procedure, code 15944 (specimen)",RBRVS,130% MPFS,2025,130,1.75,32.7442,,74.49,76.72
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,15999,"Integumentary / Surgery procedure, code 15999 (specimen)",RBRVS,130% MPFS,2025,130,6.73,32.7442,,286.48,295.07
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,16054,"Integumentary / Surgery procedure, code 16054 (specimen)",RBRVS,130% MPFS,2025,130,20.37,32.7442,,867.10,893.11
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,16109,"Integumentary / Surgery procedure, code 16109 (specimen)",RBRVS,130% MPFS,2025,130,15.14,32.7442,,644.47,663.80
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,16164,"Integumentary / Surgery procedure, code 16164 (specimen)",RBRVS,130% MPFS,2025,130,19.1,32.7442,,813.04,837.43
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,16219,"Integumentary / Surgery procedure, code 16219 (specimen)",RBRVS,130% MPFS,2025,130,17.63,32.7442,,750.46,772.97
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,16274,"Integumentary / Surgery procedure, code 16274 (specimen)",RBRVS,130% MPFS,2025,130,7.3,32.7442,,310.74,320.06
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,16329,"Integumentary / Surgery procedure, code 16329 (specimen)",RBRVS,130% MPFS,2025,130,19.52,32.7442,,830.92,855.85
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,16384,"Integumentary / Surgery procedure, code 16384 (specimen)",RBRVS,130% MPFS,2025,130,8.29,32.7442,,352.88,363.47
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,16439,"Integumentary / Surgery procedure, code 16439 (specimen)",RBRVS,130% MPFS,2025,130,2.03,32.7442,,86.41,89.00
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,16494,"Integumentary / Surgery procedure, code 16494 (specimen)",RBRVS,130% MPFS,2025,130,4.57,32.7442,,194.53,200.37
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,16549,"Integumentary / Surgery procedure, code 16549 (specimen)",RBRVS,130% MPFS,2025,130,15.01,32.7442,,638.94,658.11
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,16604,"Integumentary / Surgery procedure, code 16604 (specimen)",RBRVS,130% MPFS,2025,130,6.94,32.7442,,295.42,304.28
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,16659,"Integumentary / Surgery procedure, code 16659 (specimen)",RBRVS,130% MPFS,2025,130,9.91,32.7442,,421.84,434.50
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,16714,"Integumentary / Surgery procedure, code 16714 (specimen)",RBRVS,130% MPFS,2025,130,7.59,32.7442,,323.09,332.78
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,16769,"Integumentary / Surgery procedure, code 16769 (specimen)",RBRVS,130% MPFS,2025,130,4.04,32.7442,,171.97,177.13
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,16824,"Integumentary / Surgery procedure, code 16824 (specimen)",RBRVS,130% MPFS,2025,130,11.67,32.7442,,496.76,511.66
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,16879,"Integumentary / Surgery procedure, code 16879 (specimen)",RBRVS,130% MPFS,2025,130,16.05,32.7442,,683.21,703.71
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,16934,"Integumentary / Surgery procedure, code 16934 (specimen)",RBRVS,130% MPFS,2025,130,8.07,32.7442,,343.52,353.83
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,16989,"Integumentary / Surgery procedure, code 16989 (specimen)",RBRVS,130% MPFS,2025,130,13.29,32.7442,,565.72,582.69
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,17044,"Integumentary / Surgery procedure, code 17044 (specimen)",RBRVS,130% MPFS,2025,130,4.1,32.7442,,174.53,179.77
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,17099,"Integumentary / Surgery procedure, code 17099 (specimen)",RBRVS,130% MPFS,2025,130,12.72,32.7442,,541.46,557.70
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,17154,"Integumentary / Surgery procedure, code 17154 (specimen)",RBRVS,130% MPFS,2025,130,8.05,32.7442,,342.67,352.95
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,17209,"Integumentary / Surgery procedure, code 17209 (specimen)",RBRVS,130% MPFS,2025,130,10.85,32.7442,,461.86,475.72
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,17264,"Integumentary / Surgery procedure, code 17264 (specimen)",RBRVS,130% MPFS,2025,130,12.49,32.7442,,531.67,547.62
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,17319,"Integumentary / Surgery procedure, code 17319 (specimen)",RBRVS,130% MPFS,2025,130,11.45,32.7442,,487.40,502.02
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,17374,"Integumentary / Surgery procedure, code 17374 (specimen)",RBRVS,130% MPFS,2025,130,3.03,32.7442,,128.98,132.85
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,17429,"Integumentary / Surgery procedure, code 17429 (specimen)",RBRVS,130% MPFS,2025,130,5.87,32.7442,,249.87,257.37
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,17484,"Integumentary / Surgery procedure, code 17484 (specimen)",RBRVS,130% MPFS,2025,130,8.25,32.7442,,351.18,361.72
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,17539,"Integumentary / Surgery procedure, code 17539 (specimen)",RBRVS,130% MPFS,2025,130,19.41,32.7442,,826.23,851.02
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,17594,"Integumentary / Surgery procedure, code 17594 (specimen)",RBRVS,130% MPFS,2025,130,18.05,32.7442,,768.34,791.39
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,17649,"Integumentary / Surgery procedure, code 17649 (specimen)",RBRVS,130% MPFS,2025,130,1.61,32.7442,,68.53,70.59
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,17704,"Integumentary / Surgery procedure, code 17704 (specimen)",RBRVS,130% MPFS,2025,130,19.38,32.7442,,824.96,849.71
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,17759,"Integumentary / Surgery procedure, code 17759 (specimen)",RBRVS,130% MPFS,2025,130,18.21,32.7442,,775.15,798.40
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,17814,"Integumentary / Surgery procedure, code 17814 (specimen)",RBRVS,130% MPFS,2025,130,13.05,32.7442,,555.51,572.18
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,17869,"Integumentary / Surgery procedure, code 17869 (specimen)",RBRVS,130% MPFS,2025,130,15.66,32.7442,,666.61,686.61
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,17924,"Integumentary / Surgery procedure, code 17924 (specimen)",RBRVS,130% MPFS,2025,130,12.48,32.7442,,531.24,547.18
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,17979,"Integumentary / Surgery procedure, code 17979 (specimen)",RBRVS,130% MPFS,2025,130,7.44,32.7442,,316.70,326.20
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,18034,"Integumentary / Surgery procedure, code 18034 (specimen)",RBRVS,130% MPFS,2025,130,10.69,32.7442,,455.05,468.70
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,18089,"Integumentary / Surgery procedure, code 18089 (specimen)",RBRVS,130% MPFS,2025,130,18.75,32.7442,,798.14,822.08
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,18144,"Integumentary / Surgery procedure, code 18144 (specimen)",RBRVS,130% MPFS,2025,130,3.51,32.7442,,149.41,153.89
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,18199,"Integumentary / Surgery procedure, code 18199 (specimen)",RBRVS,130% MPFS,2025,130,14.0,32.7442,,595.94,613.82
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,18254,"Integumentary / Surgery procedure, code 18254 (specimen)",RBRVS,130% MPFS,2025,130,17.99,32.7442,,765.79,788.76
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,18309,"Integumentary / Surgery procedure, code 18309 (specimen)",RBRVS,130% MPFS,2025,130,5.96,32.7442,,253.70,261.31
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,18364,"Integumentary / Surgery procedure, code 18364 (specimen)",RBRVS,130% MPFS,2025,130,8.47,32.7442,,360.55,371.37
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,18419,"Integumentary / Surgery procedure, code 18419 (specimen)",RBRVS,130% MPFS,2025,130,10.1,32.7442,,429.93,442.83
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,18474,"Integumentary / Surgery procedure, code 18474 (specimen)",RBRVS,130% MPFS,2025,130,13.24,32.7442,,563.59,580.50
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,18529,"Integumentary / Surgery procedure, code 18529 (specimen)",RBRVS,130% MPFS,2025,130,8.61,32.7442,,366.51,377.51
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,18584,"Integumentary / Surgery procedure, code 18584 (specimen)",RBRVS,130% MPFS,2025,130,15.3,32.7442,,651.28,670.82
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,18639,"Integumentary / Surgery procedure, code 18639 (specimen)",RBRVS,130% MPFS,2025,130,14.59,32.7442,,621.06,639.69
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,18694,"Integumentary / Surgery procedure, code 18694 (specimen)",RBRVS,130% MPFS,2025,130,14.37,32.7442,,611.69,630.04
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,18749,"Integumentary / Surgery procedure, code 18749 (specimen)",RBRVS,130% MPFS,2025,130,10.91,32.7442,,464.41,478.34
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,18804,"Integumentary / Surgery procedure, code 18804 (specimen)",RBRVS,130% MPFS,2025,130,4.51,32.7442,,191.98,197.74
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,18859,"Integumentary / Surgery procedure, code 18859 (specimen)",RBRVS,130% MPFS,2025,130,8.5,32.7442,,361.82,372.67
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,18914,"Integumentary / Surgery procedure, code 18914 (specimen)",RBRVS,130% MPFS,2025,130,4.11,32.7442,,174.95,180.20
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,18969,"Integumentary / Surgery procedure, code 18969 (specimen)",RBRVS,130% MPFS,2025,130,3.85,32.7442,,163.88,168.80
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,19024,"Integumentary / Surgery procedure, code 19024 (specimen)",RBRVS,130% MPFS,2025,130,14.27,32.7442,,607.44,625.66
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,19079,"Integumentary / Surgery procedure, code 19079 (specimen)",RBRVS,130% MPFS,2025,130,9.0,32.7442,,383.11,394.60
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,19134,"Integumentary / Surgery procedure, code 19134 (specimen)",RBRVS,130% MPFS,2025,130,13.23,32.7442,,563.17,580.07
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,19189,"Integumentary / Surgery procedure, code 19189 (specimen)",RBRVS,130% MPFS,2025,130,20.69,32.7442,,880.72,907.14
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,19244,"Integumentary / Surgery procedure, code 19244 (specimen)",RBRVS,130% MPFS,2025,130,9.22,32.7442,,392.47,404.24
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,19299,"Integumentary / Surgery procedure, code 19299 (specimen)",RBRVS,130% MPFS,2025,130,12.91,32.7442,,549.55,566.04
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,19354,"Integumentary / Surgery procedure, code 19354 (specimen)",RBRVS,130% MPFS,2025,130,11.81,32.7442,,502.72,517.80
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,19409,"Integumentary / Surgery procedure, code 19409 (specimen)",RBRVS,130% MPFS,2025,130,16.75,32.7442,,713.00,734.39
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,19464,"Integumentary / Surgery procedure, code 19464 (specimen)",RBRVS,130% MPFS,2025,130,19.07,32.7442,,811.76,836.11
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,43020,"Digestive / GI procedure, code 43020 (specimen)",RBRVS,130% MPFS,2025,130,7.05,32.7442,,300.10,309.10
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,43060,"Digestive / GI procedure, code 43060 (specimen)",RBRVS,130% MPFS,2025,130,12.46,32.7442,,530.39,546.30
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,43100,"Digestive / GI procedure, code 43100 (specimen)",RBRVS,130% MPFS,2025,130,8.36,32.7442,,355.86,366.54
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,43140,"Digestive / GI procedure, code 43140 (specimen)",RBRVS,130% MPFS,2025,130,16.65,32.7442,,708.75,730.01
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,43180,"Digestive / GI procedure, code 43180 (specimen)",RBRVS,130% MPFS,2025,130,8.11,32.7442,,345.22,355.58
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,43220,"Digestive / GI procedure, code 43220 (specimen)",RBRVS,130% MPFS,2025,130,21.58,32.7442,,918.61,946.17
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,43260,"Digestive / GI procedure, code 43260 (specimen)",RBRVS,130% MPFS,2025,130,20.32,32.7442,,864.97,890.92
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,43300,"Digestive / GI procedure, code 43300 (specimen)",RBRVS,130% MPFS,2025,130,8.66,32.7442,,368.63,379.69
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,43340,"Digestive / GI procedure, code 43340 (specimen)",RBRVS,130% MPFS,2025,130,18.17,32.7442,,773.45,796.65
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,43380,"Digestive / GI procedure, code 43380 (specimen)",RBRVS,130% MPFS,2025,130,21.2,32.7442,,902.43,929.50
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,43420,"Digestive / GI procedure, code 43420 (specimen)",RBRVS,130% MPFS,2025,130,14.43,32.7442,,614.25,632.68
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,43460,"Digestive / GI procedure, code 43460 (specimen)",RBRVS,130% MPFS,2025,130,12.11,32.7442,,515.49,530.95
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,43500,"Digestive / GI procedure, code 43500 (specimen)",RBRVS,130% MPFS,2025,130,7.55,32.7442,,321.38,331.02
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,43540,"Digestive / GI procedure, code 43540 (specimen)",RBRVS,130% MPFS,2025,130,22.02,32.7442,,937.34,965.46
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,43580,"Digestive / GI procedure, code 43580 (specimen)",RBRVS,130% MPFS,2025,130,7.62,32.7442,,324.36,334.09
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,43620,"Digestive / GI procedure, code 43620 (specimen)",RBRVS,130% MPFS,2025,130,8.46,32.7442,,360.12,370.92
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,43660,"Digestive / GI procedure, code 43660 (specimen)",RBRVS,130% MPFS,2025,130,6.85,32.7442,,291.59,300.34
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,43700,"Digestive / GI procedure, code 43700 (specimen)",RBRVS,130% MPFS,2025,130,5.28,32.7442,,224.76,231.50
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,43740,"Digestive / GI procedure, code 43740 (specimen)",RBRVS,130% MPFS,2025,130,20.2,32.7442,,859.86,885.66
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone General (OP),CPT,43780,"Digestive / GI procedure, code 43780 (specimen)",RBRVS,130% MPFS,2025,130,4.47,32.7442,,190.28,195.99
